ps_id	mim_id	common_hpo_id	from_root	ic
PS102200	219090	HP_0030236	4	0.29309
PS102200	219090	HP_0030972	4	0.39007
PS102200	219090	HP_0031466	5	0.40172
PS102200	219090	HP_0040290	3	0.29628
PS102200	219090	HP_0100679	6	0.69874
PS102200	219090	HP_0100851	5	0.38434
PS102200	219090	HP_0100852	6	0.53148
PS102200	300943	HP_0000845	7	0.77145
PS102200	300943	HP_0002893	6	0.72955
PS102200	300943	HP_0010514	6	0.62193
PS104290	104290	HP_0000639	6	0.28063
PS104290	104290	HP_0001249	5	0.18714
PS104290	104290	HP_0001266	7	0.561
PS104290	104290	HP_0001268	6	0.38434
PS104290	104290	HP_0001332	5	0.3692
PS104290	104290	HP_0002069	6	0.52108
PS104290	104290	HP_0002072	6	0.48241
PS104290	104290	HP_0002197	5	0.45911
PS104290	104290	HP_0002301	8	0.67435
PS104290	104290	HP_0002445	8	0.69003
PS104290	104290	HP_0012547	5	0.28038
PS104290	104290	HP_0012759	4	0.13142
PS104290	104290	HP_0100022	4	0.19961
PS104290	104290	HP_0100543	5	0.33609
PS104290	104290	HP_0200072	9	0.91859
PS104290	614820	HP_0000639	6	0.28063
PS104290	614820	HP_0001249	5	0.18714
PS104290	614820	HP_0001250	4	0.19382
PS104290	614820	HP_0001251	6	0.2761
PS104290	614820	HP_0001260	6	0.33692
PS104290	614820	HP_0001263	6	0.20195
PS104290	614820	HP_0001266	7	0.561
PS104290	614820	HP_0001268	6	0.38434
PS104290	614820	HP_0001317	8	0.22627
PS104290	614820	HP_0001332	5	0.3692
PS104290	614820	HP_0002072	6	0.48241
PS104290	614820	HP_0002133	5	0.57588
PS104290	614820	HP_0002167	5	0.28751
PS104290	614820	HP_0002301	8	0.67435
PS104290	614820	HP_0002445	8	0.69003
PS104290	614820	HP_0004374	7	0.55553
PS104290	614820	HP_0011443	5	0.26434
PS104290	614820	HP_0012547	5	0.28038
PS104290	614820	HP_0012758	5	0.17112
PS104290	614820	HP_0012759	4	0.13142
PS104290	614820	HP_0100022	4	0.19961
PS104290	614820	HP_0100543	5	0.33609
PS104290	614820	HP_0200072	9	0.91859
PS104500	104500	HP_0000682	4	0.51152
PS104500	104500	HP_0000705	5	0.64814
PS104500	104510	HP_0000679	10	0.75576
PS104500	104510	HP_0000682	4	0.51152
PS104500	104510	HP_0000705	5	0.64814
PS104500	104510	HP_0006479	9	0.72955
PS104500	104530	HP_0000679	10	0.75576
PS104500	104530	HP_0000682	4	0.51152
PS104500	104530	HP_0000691	9	0.54531
PS104500	104530	HP_0000705	5	0.64814
PS104500	104530	HP_0006479	9	0.72955
PS104500	130900	HP_0000682	4	0.51152
PS104500	130900	HP_0000689	9	0.51716
PS104500	130900	HP_0000692	8	0.39541
PS104500	130900	HP_0000705	5	0.64814
PS104500	130900	HP_0010807	9	0.75576
PS104500	130900	HP_0200095	10	0.81097
PS104500	204650	HP_0000682	4	0.51152
PS104500	204650	HP_0000689	9	0.51716
PS104500	204650	HP_0000705	5	0.64814
PS104500	204650	HP_0006285	5	0.83717
PS104500	204650	HP_0006286	10	0.91859
PS104500	204650	HP_0009102	10	0.83717
PS104500	204650	HP_0011073	9	0.75576
PS104500	204690	HP_0000009	6	0.43196
PS104500	204690	HP_0000083	6	0.40244
PS104500	204690	HP_0000098	4	0.49769
PS104500	204690	HP_0000103	8	0.61732
PS104500	204690	HP_0000121	7	0.55553
PS104500	204690	HP_0000168	8	0.51525
PS104500	204690	HP_0000212	9	0.58932
PS104500	204690	HP_0000682	4	0.51152
PS104500	204690	HP_0000684	9	0.52309
PS104500	204690	HP_0000696	10	0.75576
PS104500	204690	HP_0000705	5	0.64814
PS104500	204690	HP_0000805	7	0.72955
PS104500	204690	HP_0001548	5	0.62673
PS104500	204690	HP_0004727	7	0.91859
PS104500	204690	HP_0006479	9	0.72955
PS104500	204690	HP_0011038	6	0.65416
PS104500	204690	HP_0012210	6	0.28038
PS104500	204690	HP_0012211	5	0.34824
PS104500	204700	HP_0000670	9	0.49769
PS104500	204700	HP_0000682	4	0.51152
PS104500	204700	HP_0000705	5	0.64814
PS104500	204700	HP_0011061	8	0.41227
PS104500	301200	HP_0000682	4	0.51152
PS104500	301200	HP_0000685	9	0.52513
PS104500	301200	HP_0000691	9	0.54531
PS104500	301200	HP_0000705	5	0.64814
PS104500	301200	HP_0001939	2	0.1356
PS104500	301200	HP_0006297	5	0.55553
PS104500	301200	HP_0006482	8	0.47819
PS104500	301200	HP_0010807	9	0.75576
PS104500	301200	HP_0200095	10	0.81097
PS104500	612529	HP_0000682	4	0.51152
PS104500	612529	HP_0000705	5	0.64814
PS104500	612529	HP_0010807	9	0.75576
PS104500	612529	HP_0200095	10	0.81097
PS104500	613211	HP_0000682	4	0.51152
PS104500	613211	HP_0000705	5	0.64814
PS104500	613211	HP_0006285	5	0.83717
PS104500	614832	HP_0000682	4	0.51152
PS104500	614832	HP_0000685	9	0.52513
PS104500	614832	HP_0000705	5	0.64814
PS104500	614832	HP_0006285	5	0.83717
PS104500	614832	HP_0006297	5	0.55553
PS104500	615887	HP_0000670	9	0.49769
PS104500	615887	HP_0000682	4	0.51152
PS104500	615887	HP_0000705	5	0.64814
PS104500	615887	HP_0011061	8	0.41227
PS104500	616221	HP_0000682	4	0.51152
PS104500	616221	HP_0000685	9	0.52513
PS104500	616221	HP_0000689	9	0.51716
PS104500	616221	HP_0000705	5	0.64814
PS104500	616221	HP_0006286	10	0.91859
PS104500	616221	HP_0006297	5	0.55553
PS104500	616221	HP_0009102	10	0.83717
PS104500	616221	HP_0009722	5	0.87096
PS104500	616221	HP_0010807	9	0.75576
PS104500	616221	HP_0011073	9	0.75576
PS104500	616221	HP_0200095	10	0.81097
PS104500	616270	HP_0000682	4	0.51152
PS104500	616270	HP_0000685	9	0.52513
PS104500	616270	HP_0000705	5	0.64814
PS104500	616270	HP_0006297	5	0.55553
PS104500	616270	HP_0009722	5	0.87096
PS104500	616270	HP_0011061	8	0.41227
PS104500	616270	HP_0011073	9	0.75576
PS104500	617217	HP_0010807	9	0.75576
PS104500	617217	HP_0200095	10	0.81097
PS104500	617297	HP_0000670	9	0.49769
PS104500	617297	HP_0000692	8	0.39541
PS104500	617297	HP_0011061	8	0.41227
PS104500	617297	HP_0011094	9	0.81097
PS105250	105250	HP_0000759	4	0.26256
PS105250	105250	HP_0000973	7	0.53819
PS105250	105250	HP_0000989	5	0.63172
PS105250	105250	HP_0001131	7	0.60862
PS105250	105250	HP_0001291	5	0.42299
PS105250	105250	HP_0001939	2	0.1356
PS105250	105250	HP_0008067	6	0.49769
PS105250	105250	HP_0011034	3	0.64814
PS105250	613955	HP_0000989	5	0.63172
PS105250	613955	HP_0011034	3	0.64814
PS105400	105400	HP_0001257	6	0.28482
PS105400	105400	HP_0001260	6	0.33692
PS105400	105400	HP_0001276	5	0.26844
PS105400	105400	HP_0001324	4	0.25386
PS105400	105400	HP_0001347	6	0.31852
PS105400	105400	HP_0001618	3	0.63172
PS105400	105400	HP_0002015	4	0.39678
PS105400	105400	HP_0002104	5	0.47148
PS105400	105400	HP_0002200	4	0.74193
PS105400	105400	HP_0002314	7	0.75576
PS105400	105400	HP_0002360	5	0.4639
PS105400	105400	HP_0002380	6	0.55553
PS105400	105400	HP_0002398	6	0.72955
PS105400	105400	HP_0002493	5	0.23605
PS105400	105400	HP_0003202	4	0.32139
PS105400	105400	HP_0003394	4	0.55553
PS105400	105400	HP_0003470	5	0.561
PS105400	105400	HP_0004305	5	0.28323
PS105400	105400	HP_0007024	4	0.81097
PS105400	105400	HP_0007354	7	0.62193
PS105400	105400	HP_0007373	6	0.58932
PS105400	105400	HP_0010535	6	0.59667
PS105400	105400	HP_0011804	3	0.13802
PS105400	105400	HP_0030236	4	0.29309
PS105400	105400	HP_0040290	3	0.29628
PS105400	205100	HP_0000183	10	0.81097
